[2024-06-25 09:57:03.316]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum christoomey/vim-tmux-navigator sainnhe/tmux-fzf
[2024-06-25 09:57:03.339]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/install_plugins
[2024-06-25 09:57:03.387]	 Installing "tmux-resurrect"
[2024-06-25 09:57:03.387]	 Installing "tmux-continuum"
[2024-06-25 09:57:03.388]	 Installing "vim-tmux-navigator"
[2024-06-25 09:57:03.389]	 Installing "tmux-fzf"
[2024-06-25 09:57:03.391]	 Already installed "tpm"
[2024-06-25 09:57:05.171]	   "tmux-continuum" download success
[2024-06-25 09:57:05.171]	   "vim-tmux-navigator" download success
[2024-06-25 09:57:05.319]	   "tmux-fzf" download success
[2024-06-25 09:57:07.279]	   "tmux-resurrect" download success
[2024-06-25 09:57:07.305]	 Done.

[2024-06-26 16:56:28.714]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum christoomey/vim-tmux-navigator sainnhe/tmux-fzf
[2024-06-26 16:56:28.727]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/install_plugins
[2024-06-26 16:56:28.753]	 Already installed "tpm"
[2024-06-26 16:56:28.754]	 Already installed "tmux-resurrect"
[2024-06-26 16:56:28.755]	 Already installed "tmux-continuum"
[2024-06-26 16:56:28.755]	 Already installed "vim-tmux-navigator"
[2024-06-26 16:56:28.755]	 Already installed "tmux-fzf"
[2024-06-26 16:56:28.766]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/update_plugins all
[2024-06-26 16:56:28.777]	 Updating all plugins!
[2024-06-26 16:56:28.777]	 
[2024-06-26 16:56:28.792]	   "tpm" update fail
[2024-06-26 16:56:28.793]	     | error: cannot pull with rebase: You have unstaged changes.
[2024-06-26 16:56:28.793]	     | error: Please commit or stash them.
[2024-06-26 16:56:29.936]	   "tmux-continuum" update success
[2024-06-26 16:56:29.936]	   "vim-tmux-navigator" update success
[2024-06-26 16:56:29.936]	   "tmux-fzf" update success
[2024-06-26 16:56:29.937]	     | Already up to date.
[2024-06-26 16:56:29.937]	     | Already up to date.
[2024-06-26 16:56:29.938]	     | fatal: unable to bind to '/home/rubin/.cache/git/credential/socket': Address already in use
[2024-06-26 16:56:29.938]	     | fatal: cache daemon did not start: 
[2024-06-26 16:56:29.938]	     | Already up to date.
[2024-06-26 16:56:29.940]	   "tmux-resurrect" update success
[2024-06-26 16:56:29.941]	     | Already up to date.
[2024-06-26 16:56:29.951]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/clean_plugins all
[2024-06-26 16:56:29.985]	 Done.

[2024-06-26 16:57:15.009]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum christoomey/vim-tmux-navigator sainnhe/tmux-fzf
[2024-06-26 16:57:15.032]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/install_plugins
[2024-06-26 16:57:15.083]	 Already installed "tpm"
[2024-06-26 16:57:15.085]	 Already installed "vim-tmux-navigator"
[2024-06-26 16:57:15.085]	 Already installed "tmux-continuum"
[2024-06-26 16:57:15.086]	 Already installed "tmux-resurrect"
[2024-06-26 16:57:15.086]	 Already installed "tmux-fzf"
[2024-06-26 16:57:15.101]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/update_plugins all
[2024-06-26 16:57:15.115]	 Updating all plugins!
[2024-06-26 16:57:15.115]	 
[2024-06-26 16:57:15.134]	   "tpm" update fail
[2024-06-26 16:57:15.135]	     | error: cannot pull with rebase: You have unstaged changes.
[2024-06-26 16:57:15.135]	     | error: Please commit or stash them.
[2024-06-26 16:57:16.213]	   "tmux-fzf" update success
[2024-06-26 16:57:16.213]	   "vim-tmux-navigator" update success
[2024-06-26 16:57:16.214]	   "tmux-continuum" update success
[2024-06-26 16:57:16.214]	     | Already up to date.
[2024-06-26 16:57:16.215]	     | Already up to date.
[2024-06-26 16:57:16.216]	     | Already up to date.
[2024-06-26 16:57:16.216]	   "tmux-resurrect" update success
[2024-06-26 16:57:16.218]	     | Already up to date.
[2024-06-26 16:57:16.228]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/clean_plugins all
[2024-06-26 16:57:16.260]	 Done.

[2024-06-26 16:57:54.077]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum christoomey/vim-tmux-navigator sainnhe/tmux-fzf
[2024-06-26 16:57:54.086]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/install_plugins
[2024-06-26 16:57:54.111]	 Already installed "tmux-resurrect"
[2024-06-26 16:57:54.111]	 Already installed "tpm"
[2024-06-26 16:57:54.111]	 Already installed "tmux-continuum"
[2024-06-26 16:57:54.112]	 Already installed "vim-tmux-navigator"
[2024-06-26 16:57:54.112]	 Already installed "tmux-fzf"
[2024-06-26 16:57:54.122]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/update_plugins all
[2024-06-26 16:57:54.132]	 Updating all plugins!
[2024-06-26 16:57:54.132]	 
[2024-06-26 16:57:54.148]	   "tpm" update fail
[2024-06-26 16:57:54.149]	     | error: cannot pull with rebase: You have unstaged changes.
[2024-06-26 16:57:54.149]	     | error: Please commit or stash them.
[2024-06-26 16:57:55.185]	   "vim-tmux-navigator" update success
[2024-06-26 16:57:55.186]	   "tmux-continuum" update success
[2024-06-26 16:57:55.186]	     | Already up to date.
[2024-06-26 16:57:55.188]	     | Already up to date.
[2024-06-26 16:57:55.208]	   "tmux-fzf" update success
[2024-06-26 16:57:55.210]	     | Already up to date.
[2024-06-26 16:57:55.219]	   "tmux-resurrect" update success
[2024-06-26 16:57:55.220]	     | Already up to date.
[2024-06-26 16:57:55.230]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/clean_plugins all
[2024-06-26 16:57:55.262]	 Done.

[2024-06-26 16:58:40.193]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum christoomey/vim-tmux-navigator sainnhe/tmux-fzf
[2024-06-26 16:58:40.206]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/install_plugins
[2024-06-26 16:58:40.233]	 Already installed "tmux-resurrect"
[2024-06-26 16:58:40.233]	 Already installed "tpm"
[2024-06-26 16:58:40.233]	 Already installed "tmux-continuum"
[2024-06-26 16:58:40.234]	 Already installed "vim-tmux-navigator"
[2024-06-26 16:58:40.234]	 Already installed "tmux-fzf"
[2024-06-26 16:58:40.245]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/update_plugins all
[2024-06-26 16:58:40.255]	 Updating all plugins!
[2024-06-26 16:58:40.255]	 
[2024-06-26 16:58:40.271]	   "tpm" update fail
[2024-06-26 16:58:40.272]	     | error: cannot pull with rebase: You have unstaged changes.
[2024-06-26 16:58:40.272]	     | error: Please commit or stash them.
[2024-06-26 16:58:41.400]	   "vim-tmux-navigator" update success
[2024-06-26 16:58:41.401]	   "tmux-fzf" update success
[2024-06-26 16:58:41.401]	   "tmux-continuum" update success
[2024-06-26 16:58:41.402]	     | Already up to date.
[2024-06-26 16:58:41.402]	     | Already up to date.
[2024-06-26 16:58:41.402]	     | Already up to date.
[2024-06-26 16:58:41.404]	   "tmux-resurrect" update success
[2024-06-26 16:58:41.405]	     | Already up to date.
[2024-06-26 16:58:41.416]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/clean_plugins all
[2024-06-26 16:58:41.448]	 Done.

[2024-07-03 11:03:58.491]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum christoomey/vim-tmux-navigator sainnhe/tmux-fzf
[2024-07-03 11:03:58.527]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/install_plugins
[2024-07-03 11:03:58.583]	 Already installed "tpm"
[2024-07-03 11:03:58.584]	 Already installed "tmux-continuum"
[2024-07-03 11:03:58.584]	 Already installed "tmux-resurrect"
[2024-07-03 11:03:58.585]	 Already installed "tmux-fzf"
[2024-07-03 11:03:58.585]	 Already installed "vim-tmux-navigator"
[2024-07-03 11:03:58.603]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/update_plugins all
[2024-07-03 11:03:58.626]	 Updating all plugins!
[2024-07-03 11:03:58.626]	 
[2024-07-03 11:03:58.661]	   "tpm" update fail
[2024-07-03 11:03:58.664]	     | error: cannot pull with rebase: You have unstaged changes.
[2024-07-03 11:03:58.664]	     | error: Please commit or stash them.
[2024-07-03 11:03:59.702]	   "tmux-continuum" update success
[2024-07-03 11:03:59.703]	   "tmux-resurrect" update success
[2024-07-03 11:03:59.704]	     | Already up to date.
[2024-07-03 11:03:59.705]	     | Already up to date.
[2024-07-03 11:03:59.707]	   "vim-tmux-navigator" update success
[2024-07-03 11:03:59.710]	     | Already up to date.
[2024-07-03 11:03:59.809]	   "tmux-fzf" update success
[2024-07-03 11:03:59.812]	     | Already up to date.
[2024-07-03 11:03:59.837]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/clean_plugins all
[2024-07-03 11:03:59.917]	 Done.

[2024-07-03 11:05:04.608]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum christoomey/vim-tmux-navigator sainnhe/tmux-fzf
[2024-07-03 11:05:04.631]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/install_plugins
[2024-07-03 11:05:04.681]	 Already installed "tpm"
[2024-07-03 11:05:04.682]	 Already installed "tmux-continuum"
[2024-07-03 11:05:04.682]	 Already installed "tmux-resurrect"
[2024-07-03 11:05:04.683]	 Already installed "vim-tmux-navigator"
[2024-07-03 11:05:04.683]	 Already installed "tmux-fzf"
[2024-07-03 11:05:04.706]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/update_plugins all
[2024-07-03 11:05:04.726]	 Updating all plugins!
[2024-07-03 11:05:04.726]	 
[2024-07-03 11:05:04.754]	   "tpm" update fail
[2024-07-03 11:05:04.756]	     | error: cannot pull with rebase: You have unstaged changes.
[2024-07-03 11:05:04.756]	     | error: Please commit or stash them.
[2024-07-03 11:05:05.851]	   "tmux-fzf" update success
[2024-07-03 11:05:05.851]	   "tmux-continuum" update success
[2024-07-03 11:05:05.853]	   "vim-tmux-navigator" update success
[2024-07-03 11:05:05.854]	     | Already up to date.
[2024-07-03 11:05:05.854]	     | Already up to date.
[2024-07-03 11:05:05.856]	     | Already up to date.
[2024-07-03 11:05:05.856]	   "tmux-resurrect" update success
[2024-07-03 11:05:05.858]	     | Already up to date.
[2024-07-03 11:05:05.882]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/clean_plugins all
[2024-07-03 11:05:05.953]	 Done.

[2024-07-03 17:15:11.990]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum christoomey/vim-tmux-navigator sainnhe/tmux-fzf
[2024-07-03 17:15:12.001]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/install_plugins
[2024-07-03 17:15:12.050]	 Already installed "tmux-fzf"
[2024-07-03 17:15:12.054]	 Already installed "tpm"
[2024-07-03 17:15:12.054]	 Already installed "vim-tmux-navigator"
[2024-07-03 17:15:12.055]	 Already installed "tmux-continuum"
[2024-07-03 17:15:12.056]	 Already installed "tmux-resurrect"
[2024-07-03 17:15:12.080]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/update_plugins all
[2024-07-03 17:15:12.101]	 Updating all plugins!
[2024-07-03 17:15:12.101]	 
[2024-07-03 17:15:12.117]	   "tpm" update fail
[2024-07-03 17:15:12.118]	     | error: cannot pull with rebase: You have unstaged changes.
[2024-07-03 17:15:12.118]	     | error: Please commit or stash them.
[2024-07-03 17:15:13.095]	   "vim-tmux-navigator" update success
[2024-07-03 17:15:13.096]	     | Already up to date.
[2024-07-03 17:15:13.102]	   "tmux-fzf" update success
[2024-07-03 17:15:13.104]	     | Already up to date.
[2024-07-03 17:15:13.107]	   "tmux-continuum" update success
[2024-07-03 17:15:13.108]	     | Already up to date.
[2024-07-03 17:15:13.111]	   "tmux-resurrect" update success
[2024-07-03 17:15:13.113]	     | Already up to date.
[2024-07-03 17:15:13.123]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/clean_plugins all
[2024-07-03 17:15:13.156]	 Done.

[2024-07-03 17:16:25.048]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum christoomey/vim-tmux-navigator sainnhe/tmux-fzf
[2024-07-03 17:16:25.059]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/install_plugins
[2024-07-03 17:16:25.087]	 Already installed "tpm"
[2024-07-03 17:16:25.092]	 Already installed "tmux-fzf"
[2024-07-03 17:16:25.092]	 Already installed "tmux-continuum"
[2024-07-03 17:16:25.095]	 Already installed "vim-tmux-navigator"
[2024-07-03 17:16:25.095]	 Already installed "tmux-resurrect"
[2024-07-03 17:16:25.120]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/update_plugins all
[2024-07-03 17:16:25.143]	 Updating all plugins!
[2024-07-03 17:16:25.143]	 
[2024-07-03 17:16:25.168]	   "tpm" update fail
[2024-07-03 17:16:25.170]	     | error: cannot pull with rebase: You have unstaged changes.
[2024-07-03 17:16:25.170]	     | error: Please commit or stash them.
[2024-07-03 17:16:26.125]	   "vim-tmux-navigator" update success
[2024-07-03 17:16:26.127]	     | Already up to date.
[2024-07-03 17:16:26.130]	   "tmux-continuum" update success
[2024-07-03 17:16:26.131]	     | Already up to date.
[2024-07-03 17:16:26.133]	   "tmux-resurrect" update success
[2024-07-03 17:16:26.134]	     | Already up to date.
[2024-07-03 17:16:26.137]	   "tmux-fzf" update success
[2024-07-03 17:16:26.139]	     | Already up to date.
[2024-07-03 17:16:26.149]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/clean_plugins all
[2024-07-03 17:16:26.183]	 Done.

[2024-07-03 17:17:15.045]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum christoomey/vim-tmux-navigator sainnhe/tmux-fzf
[2024-07-03 17:17:15.067]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/install_plugins
[2024-07-03 17:17:15.114]	 Already installed "tpm"
[2024-07-03 17:17:15.118]	 Already installed "vim-tmux-navigator"
[2024-07-03 17:17:15.118]	 Already installed "tmux-continuum"
[2024-07-03 17:17:15.121]	 Already installed "tmux-resurrect"
[2024-07-03 17:17:15.121]	 Already installed "tmux-fzf"
[2024-07-03 17:17:15.141]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/update_plugins all
[2024-07-03 17:17:15.156]	 Updating all plugins!
[2024-07-03 17:17:15.156]	 
[2024-07-03 17:17:15.173]	   "tpm" update fail
[2024-07-03 17:17:15.174]	     | error: cannot pull with rebase: You have unstaged changes.
[2024-07-03 17:17:15.174]	     | error: Please commit or stash them.
[2024-07-03 17:17:16.125]	   "tmux-continuum" update success
[2024-07-03 17:17:16.127]	     | Already up to date.
[2024-07-03 17:17:16.129]	   "vim-tmux-navigator" update success
[2024-07-03 17:17:16.129]	   "tmux-fzf" update success
[2024-07-03 17:17:16.130]	     | Already up to date.
[2024-07-03 17:17:16.131]	     | Already up to date.
[2024-07-03 17:17:16.132]	   "tmux-resurrect" update success
[2024-07-03 17:17:16.133]	     | Already up to date.
[2024-07-03 17:17:16.143]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/clean_plugins all
[2024-07-03 17:17:16.176]	 Done.

[2024-07-03 17:18:57.416]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum christoomey/vim-tmux-navigator sainnhe/tmux-fzf
[2024-07-03 17:18:57.428]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/install_plugins
[2024-07-03 17:18:57.454]	 Already installed "tmux-resurrect"
[2024-07-03 17:18:57.454]	 Already installed "tpm"
[2024-07-03 17:18:57.454]	 Already installed "tmux-continuum"
[2024-07-03 17:18:57.454]	 Already installed "vim-tmux-navigator"
[2024-07-03 17:18:57.455]	 Already installed "tmux-fzf"
[2024-07-03 17:18:57.466]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/update_plugins all
[2024-07-03 17:18:57.493]	 Updating all plugins!
[2024-07-03 17:18:57.493]	 
[2024-07-03 17:18:57.532]	   "tpm" update fail
[2024-07-03 17:18:57.536]	     | error: cannot pull with rebase: You have unstaged changes.
[2024-07-03 17:18:57.536]	     | error: Please commit or stash them.
[2024-07-03 17:18:58.517]	   "vim-tmux-navigator" update success
[2024-07-03 17:18:58.519]	     | Already up to date.
[2024-07-03 17:18:58.519]	   "tmux-continuum" update success
[2024-07-03 17:18:58.520]	     | Already up to date.
[2024-07-03 17:18:58.522]	   "tmux-resurrect" update success
[2024-07-03 17:18:58.522]	   "tmux-fzf" update success
[2024-07-03 17:18:58.523]	     | Already up to date.
[2024-07-03 17:18:58.523]	     | Already up to date.
[2024-07-03 17:18:58.535]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/clean_plugins all
[2024-07-03 17:18:58.572]	 Done.

[2024-07-03 17:19:51.352]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum christoomey/vim-tmux-navigator
[2024-07-03 17:19:51.368]	 Invoking /home/rubin/.config/tmux/plugins/tpm/tpm/bin/install_plugins
[2024-07-03 17:19:51.417]	 Already installed "tpm"
[2024-07-03 17:19:51.419]	 Already installed "tmux-continuum"
[2024-07-03 17:19:51.420]	 Already installed "tmux-resurrect"
